r,g,b,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20
115,33,229,9.50522e-10,1.51095e-10,9.54473e-09,2.73517e-08,7.67347e-10,1.30413e-07,5.70437e-10,1.10138e-09,1.11972e-09,5.58676e-10,1.0293e-09,4.78053e-10,1.70549e-08,9.987e-09,4.52183e-10,3.80969e-10,3.29858e-10,3.88683e-09,3.90084e-09,3.37859e-10
111,57,182,1.20594e-09,3.06158e-10,1.77587e-08,7.33447e-08,2.13449e-09,1.70859e-06,1.15758e-09,2.98279e-09,3.53678e-09,7.85864e-10,3.78959e-09,6.77852e-10,6.85803e-09,3.24661e-08,8.75593e-10,1.02978e-09,7.98313e-10,8.67924e-09,4.86238e-09,6.73078e-10
198,73,182,6.28931e-09,5.09181e-10,1.40323e-09,6.6032e-09,8.06589e-10,1.38385e-08,6.08217e-09,6.34093e-10,7.83435e-09,1.47543e-09,2.81675e-09,3.38963e-10,3.54989e-08,2.90451e-07,1.70128e-09,4.00672e-10,4.11581e-10,7.74721e-10,1.52492e-07,1.14349e-09
177,244,17,4.02949e-10,5.05628e-07,1.6488e-10,2.46322e-10,2.88068e-10,1.79182e-10,2.3318e-09,3.94282e-10,1.00533e-09,5.51701e-10,3.08534e-09,2.29702e-10,1.064e-10,3.02804e-10,2.99962e-09,9.43287e-10,2.00462e-09,1.25995e-10,3.02867e-10,4.07749e-10
103,126,184,2.69525e-09,5.6817e-10,3.10476e-08,6.28999e-07,1.00181e-09,1.13967e-08,2.13691e-09,1.04132e-08,2.38223e-09,3.14505e-09,1.59145e-08,3.13136e-09,1.86267e-09,5.93952e-09,3.56677e-09,1.76249e-09,2.69702e-09,3.15906e-09,5.60624e-09,3.97472e-10
68,112,140,7.68791e-10,5.9559e-10,2.90657e-08,2.53285e-08,3.0147e-09,9.38439e-09,1.13261e-09,7.58e-08,2.85977e-09,9.27517e-10,2.48577e-08,1.85938e-09,8.28327e-10,3.56315e-09,1.55991e-09,8.86622e-09,6.76169e-09,1.1308e-08,1.42036e-09,5.21739e-10
166,197,82,1.71877e-09,5.05313e-08,5.52624e-10,1.10358e-09,6.49362e-10,6.53316e-10,1.98157e-08,1.2569e-09,4.57853e-09,2.27718e-09,6.34578e-08,6.09244e-10,3.30256e-10,1.29363e-09,3.1134e-08,2.02495e-09,5.28137e-09,3.33451e-10,1.38783e-09,7.65279e-10
48,164,48,2.53318e-10,1.43604e-09,1.06935e-09,9.15143e-10,2.09308e-09,6.56897e-10,6.45197e-10,1.09716e-08,1.38061e-09,3.69488e-10,1.33926e-08,7.14199e-10,1.63602e-10,5.66734e-10,9.99124e-10,1.52386e-06,1.19778e-07,1.17381e-09,3.02946e-10,4.38092e-10
219,31,133,1.24085e-09,4.75427e-10,5.51833e-10,1.362e-09,1.42778e-09,6.48657e-09,3.11739e-09,3.47795e-10,2.36763e-08,4.26608e-10,1.50419e-09,1.42756e-10,9.39679e-09,1.94781e-07,6.48902e-10,3.43701e-10,2.64123e-10,5.80723e-10,6.29441e-09,5.60709e-09
65,213,189,1.17839e-09,5.13714e-10,4.58281e-09,6.05179e-09,2.87801e-10,7.66255e-10,8.42494e-10,1.08088e-08,4.87272e-10,4.71405e-09,5.0456e-09,1.14831e-07,3.01955e-10,5.70621e-10,4.54112e-09,1.43043e-09,7.5382e-09,7.25375e-10,9.02351e-10,1.32352e-10
216,2,226,1.14664e-09,1.36828e-10,6.05174e-10,1.56176e-09,3.76609e-10,5.75296e-09,7.31201e-10,2.19829e-10,1.19557e-09,3.6383e-10,4.41e-10,1.35915e-10,2.79453e-06,1.33775e-08,3.13746e-10,1.39791e-10,1.25294e-10,4.60595e-10,7.07173e-09,5.19388e-10
204,190,52,1.11559e-09,5.95284e-07,2.70335e-10,5.08361e-10,5.4227e-10,4.22992e-10,2.34128e-08,5.03344e-10,5.2488e-09,1.0293e-09,9.42662e-09,2.57397e-10,2.66298e-10,1.01498e-09,7.5661e-09,9.84549e-10,1.57112e-09,2.02286e-10,9.64086e-10,1.21745e-09
30,54,253,3.40081e-10,8.89935e-11,6.96159e-08,1.26175e-08,4.22098e-10,5.19219e-09,2.07058e-10,2.18543e-09,3.26686e-10,3.46887e-10,5.76399e-10,9.95762e-10,1.04298e-09,9.65561e-10,2.5975e-10,4.04737e-10,3.71769e-10,7.78019e-09,6.70509e-10,1.23753e-10
38,104,93,3.01802e-10,5.33943e-10,5.4989e-09,3.07166e-09,7.30617e-09,2.91497e-09,5.67772e-10,5.91526e-08,2.00688e-09,3.6485e-10,1.00244e-08,8.39752e-10,3.53768e-10,1.39116e-09,6.9186e-10,8.59233e-08,9.36185e-09,1.20734e-08,4.88611e-10,5.46096e-10
70,11,42,1.42279e-10,2.81719e-10,7.687e-10,6.44353e-10,1.02358e-05,2.35425e-09,3.17807e-10,1.12504e-09,2.90715e-09,1.18523e-10,1.32566e-09,1.40029e-10,3.46813e-10,1.52567e-09,2.07096e-10,3.06329e-09,6.36985e-10,4.45755e-09,2.81636e-10,2.19027e-09
224,68,93,1.28227e-09,1.38032e-09,4.2299e-10,9.69466e-10,1.69963e-09,2.51151e-09,9.65804e-09,3.88882e-10,2.64876e-07,5.07431e-10,3.0671e-09,1.50615e-10,2.02661e-09,2.67208e-08,1.13084e-09,5.19455e-10,4.0982e-10,4.35815e-10,3.83666e-09,1.70164e-08
221,188,182,2.75484e-07,1.61832e-09,5.54079e-10,1.91522e-09,2.2845e-10,7.80415e-10,5.86792e-08,4.83911e-10,1.62593e-09,4.0775e-08,3.46981e-09,6.41642e-10,1.04441e-09,1.97828e-09,6.29013e-08,3.2e-10,6.36574e-10,2.17745e-10,2.02207e-08,3.45854e-10
244,194,228,1.91935e-06,5.5956e-10,3.67107e-10,1.1652e-09,1.23415e-10,4.79036e-10,6.93696e-09,2.59661e-10,6.1872e-10,3.56192e-08,9.84672e-10,4.72892e-10,9.83973e-10,1.01333e-09,8.27e-09,1.5543e-10,2.86122e-10,1.3937e-10,1.49641e-08,1.83259e-10
13,204,88,2.35935e-10,6.63936e-10,1.38128e-09,9.62089e-10,6.01047e-10,4.22727e-10,3.90268e-10,2.6351e-08,4.82356e-10,4.60913e-10,4.69954e-09,2.27261e-09,1.23282e-10,3.1284e-10,9.61167e-10,2.65735e-08,5.77855e-07,8.71739e-10,2.39312e-10,1.67055e-10
162,27,13,2.05968e-10,7.0055e-10,2.9339e-10,3.87295e-10,2.12979e-08,1.20479e-09,7.82007e-10,3.92563e-10,2.02215e-08,1.39299e-10,1.45953e-09,9.11101e-11,4.03316e-10,2.40051e-09,2.94511e-10,1.06267e-09,4.12241e-10,6.2165e-10,4.10051e-10,1.38906e-07
159,114,71,1.02586e-09,5.01689e-09,8.72871e-10,1.71185e-09,4.41696e-09,2.52063e-09,9.07869e-09,1.52267e-09,2.41345e-07,7.52096e-10,6.06481e-08,3.36894e-10,7.45797e-10,7.30439e-09,2.77219e-09,3.38259e-09,2.38689e-09,8.84566e-10,1.88547e-09,5.23489e-09
151,31,109,6.55522e-10,5.28433e-10,1.38594e-09,2.60222e-09,1.23005e-08,3.02636e-08,1.68601e-09,1.00098e-09,5.56389e-08,3.61387e-10,3.69781e-09,2.15218e-10,3.11387e-09,1.10001e-07,6.24728e-10,1.13457e-09,5.88696e-10,2.52329e-09,2.28443e-09,6.63432e-09
220,139,120,7.21634e-09,4.53345e-09,5.48881e-10,1.6222e-09,6.78936e-10,1.51339e-09,1.71203e-06,5.78153e-10,2.02543e-08,2.47747e-09,9.93873e-09,3.266e-10,1.37048e-09,7.86472e-09,1.03285e-08,6.13586e-10,8.20338e-10,3.40015e-10,1.12911e-08,1.79377e-09
221,150,223,2.85168e-06,5.46472e-10,7.53975e-10,3.36319e-09,2.1575e-10,1.33184e-09,9.5597e-09,4.19727e-10,1.2651e-09,1.64959e-08,1.7102e-09,5.67818e-10,3.37807e-09,3.36973e-09,6.44891e-09,2.26652e-10,3.68107e-10,2.63844e-10,3.2731e-07,2.97906e-10
234,33,96,7.80673e-10,6.39735e-10,3.31356e-10,6.92514e-10,1.55154e-09,2.42414e-09,3.12485e-09,2.66703e-10,4.346e-08,3.07397e-10,1.32113e-09,1.05858e-10,2.53966e-09,2.35896e-08,5.5217e-10,3.3851e-10,2.45268e-10,3.92952e-10,2.52098e-09,2.28544e-08
228,165,23,6.27629e-10,8.19799e-08,1.768e-10,3.10605e-10,5.75925e-10,3.41544e-10,9.82156e-09,2.94128e-10,6.31753e-09,4.69056e-10,3.27837e-09,1.38788e-10,2.3351e-10,8.98761e-10,2.04126e-09,6.45307e-10,7.20542e-10,1.59826e-10,6.54526e-10,2.50433e-09
158,211,189,1.83392e-08,1.31093e-09,1.28584e-09,4.39446e-09,2.50546e-10,8.40725e-10,7.02315e-09,1.37889e-09,1.02253e-09,2.74988e-07,7.25131e-09,3.19658e-09,6.24002e-10,1.21948e-09,2.18946e-07,6.00353e-10,1.87035e-09,3.40832e-10,5.22252e-09,2.2146e-10
170,242,249,1.31647e-08,3.96623e-10,6.18662e-10,1.63272e-09,1.01849e-10,3.57463e-10,1.51788e-09,4.88687e-10,3.06245e-10,1.03399e-06,1.03514e-09,2.65893e-09,3.95679e-10,4.47406e-10,9.84646e-09,2.04512e-10,5.27609e-10,1.63821e-10,2.34723e-09,9.4841e-11
46,51,13,1.18408e-10,3.7576e-10,6.11312e-10,4.73022e-10,9.58164e-08,9.70675e-10,2.83859e-10,1.56989e-09,1.76866e-09,1.14976e-10,1.60839e-09,1.60109e-10,1.86075e-10,7.13205e-10,2.22671e-10,1.16095e-08,1.22844e-09,2.47802e-09,1.95817e-10,1.20661e-09
47,246,157,5.61948e-10,5.98068e-10,1.56931e-09,1.59867e-09,2.34159e-10,3.74725e-10,5.68894e-10,7.37434e-09,3.45239e-10,2.01097e-09,3.5306e-09,3.14357e-08,1.54766e-10,3.06793e-10,3.016e-09,1.8164e-09,1.94978e-08,4.46274e-10,4.10231e-10,1.08081e-10
150,90,19,3.3745e-10,2.84944e-09,4.24864e-10,5.9753e-10,1.09256e-08,1.1515e-09,1.88962e-09,8.21518e-10,4.60717e-08,2.64791e-10,6.87129e-09,1.66099e-10,3.55183e-10,2.31681e-09,7.58039e-10,3.43241e-09,1.3254e-09,6.69964e-10,5.69493e-10,1.44154e-08
164,161,244,4.61452e-08,3.85495e-10,2.22405e-09,1.45528e-08,2.24126e-10,1.75468e-09,2.73589e-09,9.15838e-10,7.95147e-10,3.68942e-08,2.11749e-09,2.01365e-09,2.21534e-09,2.17418e-09,5.92074e-09,3.14779e-10,5.95239e-10,4.39627e-10,2.71522e-08,1.91423e-10
7,180,21,1.2526e-10,6.64508e-10,5.32706e-10,3.9182e-10,9.90456e-10,2.92187e-10,2.67348e-10,4.33233e-09,4.92288e-10,1.88227e-10,2.34571e-09,4.62877e-10,8.57476e-11,2.37712e-10,4.20933e-10,1.14825e-07,2.57152e-08,6.57328e-10,1.40636e-10,2.2379e-10
9,76,246,2.99131e-10,9.27808e-11,1.42175e-07,1.03877e-08,3.93011e-10,2.93914e-09,1.9139e-10,3.78548e-09,2.84431e-10,3.57649e-10,6.27072e-10,1.64174e-09,6.14957e-10,6.8048e-10,2.74195e-10,5.13519e-10,5.02041e-10,7.82529e-09,5.10103e-10,1.07209e-10
137,82,135,1.70188e-09,8.86755e-10,4.24096e-09,1.42604e-08,4.35441e-09,4.33802e-08,4.01642e-09,2.99692e-09,3.14877e-08,1.0493e-09,2.21336e-08,5.73822e-10,3.28637e-09,8.95944e-08,1.99381e-09,2.07841e-09,1.5422e-09,3.26864e-09,6.19832e-09,1.90514e-09
36,155,54,2.33262e-10,1.00823e-09,1.32619e-09,1.0085e-09,2.38033e-09,7.31496e-10,5.37618e-10,1.72318e-08,1.22888e-09,3.36583e-10,1.02053e-08,7.57478e-10,1.67212e-10,5.65833e-10,8.19912e-10,1.27705e-05,8.25125e-08,1.59257e-09,2.89683e-10,4.02218e-10
9,120,120,2.67306e-10,3.38013e-10,1.14683e-08,3.58611e-09,2.13291e-09,1.93352e-09,3.77603e-10,1.03779e-06,8.46777e-10,3.77994e-10,4.71849e-09,1.64782e-09,2.81398e-10,7.98801e-10,5.9157e-10,2.56626e-08,9.79277e-09,1.25825e-08,3.90255e-10,2.652e-10
226,70,69,8.5021e-10,1.75095e-09,3.25858e-10,6.63028e-10,1.86919e-09,1.58415e-09,7.17681e-09,3.42932e-10,2.86227e-07,3.88442e-10,2.72654e-09,1.27065e-10,1.12807e-09,1.0272e-08,9.38691e-10,5.47305e-10,4.05403e-10,3.66935e-10,2.00501e-09,4.24413e-08
36,244,54,2.034e-10,1.24073e-09,4.75227e-10,4.35198e-10,3.65774e-10,2.22331e-10,4.08677e-10,3.26791e-09,3.9445e-10,4.09446e-10,3.20919e-09,1.05155e-09,8.39026e-11,2.08818e-10,1.07639e-09,8.4681e-09,1.50922e-07,3.29455e-10,1.79434e-10,1.52358e-10
113,2,96,2.91739e-10,2.93279e-10,1.35818e-09,1.58679e-09,5.96191e-08,1.87953e-08,5.94574e-10,1.02753e-09,8.22699e-09,1.94842e-10,1.75984e-09,1.71723e-10,1.38952e-09,1.06733e-08,3.08051e-10,1.28745e-09,4.87064e-10,5.77848e-09,7.96282e-10,3.57187e-09
212,189,156,4.1264e-08,3.38068e-09,5.79628e-10,1.86093e-09,3.02347e-10,8.30583e-10,2.32035e-07,6.13642e-10,2.59275e-09,2.03693e-08,7.06207e-09,6.50519e-10,8.49345e-10,2.20764e-09,1.88023e-07,4.65215e-10,9.68917e-10,2.48089e-10,1.13165e-08,4.6889e-10
57,0,23,1.01988e-10,2.18623e-10,5.13921e-10,4.10008e-10,4.13138e-07,1.27512e-09,2.20121e-10,7.85589e-10,1.60892e-09,8.73362e-11,8.17289e-10,1.08234e-10,2.3509e-10,8.59336e-10,1.49351e-10,2.31371e-09,4.81951e-10,2.83982e-09,1.89527e-10,1.58412e-09
125,140,219,7.3624e-09,4.35452e-10,1.10404e-08,2.823e-07,4.48839e-10,5.186e-09,2.25381e-09,3.02807e-09,1.30195e-09,8.59623e-09,5.23368e-09,3.54557e-09,2.42836e-09,3.96159e-09,4.54406e-09,6.92777e-10,1.24046e-09,1.22524e-09,1.28131e-08,2.62845e-10
99,24,158,5.3991e-10,2.41965e-10,7.64127e-09,1.00181e-08,5.3196e-09,2.13181e-06,6.8047e-10,2.16008e-09,3.61368e-09,3.64485e-10,2.25605e-09,3.69266e-10,3.86643e-09,2.06731e-08,4.56379e-10,1.10324e-09,6.03319e-10,2.0425e-08,1.8375e-09,8.97559e-10
217,80,64,8.65167e-10,2.42734e-09,3.5459e-10,7.13869e-10,2.16297e-09,1.57176e-09,8.61196e-09,4.0553e-10,6.31173e-07,4.25301e-10,3.84979e-09,1.42293e-10,9.66738e-10,9.0116e-09,1.13019e-09,6.97869e-10,5.13373e-10,3.96417e-10,1.87072e-09,3.79853e-08
125,213,59,6.62222e-10,2.27811e-08,5.25699e-10,7.77774e-10,6.63411e-10,4.48923e-10,3.11854e-09,1.93304e-09,2.0069e-09,1.10823e-09,3.76215e-08,7.01991e-10,1.87775e-10,6.43218e-10,7.47501e-09,5.11311e-09,2.41038e-08,3.50968e-10,5.70541e-10,4.94812e-10
106,191,229,4.36644e-09,4.03054e-10,5.11905e-09,1.8487e-08,2.40959e-10,1.21856e-09,1.30803e-09,2.97638e-09,5.58828e-10,2.11533e-08,3.26297e-09,2.08341e-08,6.86388e-10,9.88184e-10,6.1608e-09,5.95524e-10,1.64022e-09,6.24672e-10,2.93855e-09,1.41324e-10
105,111,230,2.77622e-09,2.6917e-10,3.85441e-08,8.29997e-06,5.17959e-10,1.11135e-08,1.09812e-09,3.37307e-09,1.04683e-09,2.66504e-09,2.89502e-09,2.63424e-09,3.26673e-09,4.18661e-09,1.62575e-09,6.42869e-10,8.93919e-10,2.32205e-09,6.75509e-09,2.38639e-10
45,245,94,3.30545e-10,1.17153e-09,7.97221e-10,7.70412e-10,3.36512e-10,2.97974e-10,5.60516e-10,5.95371e-09,4.36095e-10,8.14113e-10,5.05543e-09,2.88945e-09,1.13078e-10,2.70983e-10,2.0899e-09,5.61086e-09,3.21283e-07,4.01941e-10,2.71171e-10,1.45256e-10
83,198,130,1.10471e-09,1.67335e-09,2.89344e-09,4.19536e-09,6.5277e-10,1.01757e-09,1.84663e-09,1.85318e-08,1.30209e-09,2.80321e-09,5.91704e-08,5.57604e-09,3.18582e-10,9.40525e-10,8.98763e-09,6.17316e-09,8.69443e-08,9.26199e-10,9.98931e-10,2.78702e-10
87,217,251,1.98062e-09,2.56877e-10,2.84268e-09,5.41662e-09,1.47958e-10,5.88448e-10,6.25067e-10,1.90796e-09,2.83204e-10,1.0956e-08,1.36618e-09,7.66146e-08,3.69454e-10,4.54116e-10,2.83473e-09,3.94347e-10,1.12972e-09,4.01307e-10,1.18906e-09,8.62032e-11
110,148,200,4.45362e-09,5.5737e-10,1.60661e-08,2.45711e-07,5.71951e-10,4.81288e-09,2.29055e-09,6.44417e-09,1.50964e-09,7.16494e-09,1.05681e-08,5.39871e-09,1.51837e-09,3.39681e-09,5.74922e-09,1.1609e-09,2.36381e-09,1.59031e-09,6.52626e-09,2.82866e-10
97,103,2,2.00161e-10,1.68601e-09,4.673e-10,4.99283e-10,1.39087e-08,7.68346e-10,7.48869e-10,1.40147e-09,5.22464e-09,1.97118e-10,5.42396e-09,1.93365e-10,1.9918e-10,9.28685e-10,5.22334e-10,1.74849e-08,2.70492e-09,8.8086e-10,2.97311e-10,2.45044e-09
39,73,194,4.63103e-10,1.81797e-10,1.76535e-06,4.10244e-08,1.27982e-09,1.52078e-08,3.94936e-10,1.34794e-08,8.25526e-10,4.99898e-10,2.01535e-09,1.47519e-09,1.06443e-09,2.07683e-09,5.00109e-10,1.47435e-09,1.13452e-09,5.54794e-08,9.5795e-10,2.39609e-10
130,98,244,4.07281e-09,2.32554e-10,1.08224e-08,2.30044e-07,4.18658e-10,1.15356e-08,1.17278e-09,1.47574e-09,1.01736e-09,2.53425e-09,1.82306e-09,1.34958e-09,7.91781e-09,5.72259e-09,1.3507e-09,4.01356e-10,5.21675e-10,1.44084e-09,1.49337e-08,2.44531e-10
215,101,238,3.14338e-08,3.01521e-10,9.74818e-10,4.75524e-09,2.61071e-10,2.92563e-09,3.3158e-09,3.84852e-10,1.3168e-09,3.2226e-09,1.12144e-09,3.98987e-10,2.24762e-08,7.73704e-09,1.72309e-09,1.97718e-10,2.57959e-10,3.66019e-10,1.82911e-06,3.37717e-10
3,178,33,1.33917e-10,6.10464e-10,6.609e-10,4.62611e-10,1.01272e-09,3.28047e-10,2.72323e-10,6.42733e-09,4.96004e-10,2.05328e-10,2.58066e-09,5.65335e-10,9.24594e-11,2.54457e-10,4.45928e-10,1.56393e-07,3.50596e-08,7.91434e-10,1.51405e-10,2.13024e-10
37,139,141,5.12578e-10,4.8458e-10,2.40355e-08,1.01921e-08,1.47345e-09,2.67203e-09,6.65104e-10,5.33444e-06,1.14085e-09,8.14923e-10,1.19803e-08,3.84792e-09,4.08683e-10,1.20415e-09,1.28803e-09,1.29323e-08,1.65032e-08,6.6769e-09,7.21711e-10,2.78132e-10
148,45,231,1.90741e-09,1.85881e-10,4.39198e-09,2.2024e-08,6.13317e-10,5.70854e-08,9.35439e-10,7.91841e-10,1.46551e-09,8.35081e-10,1.15348e-09,4.40058e-10,8.33169e-08,2.05012e-08,6.34872e-10,3.18174e-10,3.06482e-10,1.71035e-09,1.25255e-08,3.90132e-10
241,60,57,6.10507e-10,1.36147e-09,2.34023e-10,4.45504e-10,1.45617e-09,1.06312e-09,4.27743e-09,2.44997e-10,6.5068e-08,2.83028e-10,1.56992e-09,9.60596e-11,8.69498e-10,5.64601e-09,6.39767e-10,4.01702e-10,2.92411e-10,2.76549e-10,1.33093e-09,8.5957e-08
5,137,224,3.86375e-10,1.45859e-10,1.09115e-07,1.10472e-08,3.55901e-10,1.47661e-09,2.58751e-10,1.774e-08,3.03963e-10,6.61297e-10,1.18903e-09,1.1056e-08,3.66309e-10,5.31072e-10,5.24289e-10,9.77349e-10,1.44356e-09,3.51029e-09,5.05229e-10,1.02696e-10
145,123,13,3.51996e-10,6.80562e-09,3.93237e-10,5.47515e-10,4.50557e-09,7.67197e-10,2.19475e-09,9.42269e-10,1.68371e-08,3.16231e-10,1.08678e-08,1.99359e-10,2.61265e-10,1.40548e-09,1.07662e-09,5.04133e-09,2.30812e-09,5.18255e-10,5.00876e-10,4.80695e-09
56,166,234,1.13925e-09,2.31703e-10,2.94165e-08,3.20003e-08,2.89207e-10,1.55807e-09,5.39467e-10,8.06854e-09,4.15279e-10,2.67563e-09,2.09407e-09,4.50128e-08,5.5832e-10,7.79463e-10,1.50782e-09,7.68877e-10,1.69713e-09,1.37798e-09,1.23017e-09,1.19174e-10
58,31,142,3.24151e-10,2.1797e-10,1.21219e-08,6.45512e-09,8.50144e-09,4.73022e-08,4.31814e-10,4.7759e-09,2.01981e-09,2.75822e-10,2.18913e-09,4.34567e-10,1.19651e-09,4.42122e-09,3.64174e-10,2.16555e-09,8.81944e-10,2.9921e-07,7.9206e-10,6.35566e-10
82,130,217,1.87194e-09,3.06404e-10,1.03313e-07,1.69115e-06,5.51213e-10,6.16299e-09,9.60007e-10,8.91168e-09,9.2321e-10,2.70244e-09,4.19279e-09,6.24481e-09,1.42439e-09,2.41098e-09,1.90046e-09,1.01941e-09,1.65863e-09,2.86349e-09,3.15284e-09,2.15432e-10
153,61,201,2.86908e-09,3.14966e-10,4.82073e-09,3.44206e-08,1.00051e-09,1.20923e-07,1.92708e-09,1.16421e-09,3.60098e-09,1.18007e-09,2.5982e-09,5.17587e-10,4.03072e-08,1.01428e-07,1.11218e-09,5.08747e-10,4.86902e-10,2.01471e-09,2.55413e-08,6.71997e-10
80,242,163,1.10825e-09,9.05981e-10,1.58425e-09,2.2578e-09,2.47319e-10,4.6726e-10,1.06559e-09,4.97703e-09,4.82441e-10,5.29885e-09,6.0112e-09,2.20297e-08,2.12412e-10,4.34621e-10,9.11952e-09,1.47726e-09,1.31269e-08,4.18453e-10,7.01837e-10,1.34461e-10
67,12,135,2.8226e-10,1.97607e-10,5.62526e-09,3.84634e-09,1.21534e-08,4.94034e-08,3.95565e-10,2.51377e-09,2.20349e-09,2.21918e-10,1.61392e-09,3.00238e-10,1.30425e-09,5.01873e-09,2.95544e-10,1.56807e-09,6.21871e-10,9.89824e-08,7.22165e-10,7.99309e-10
238,124,96,2.89621e-09,4.67423e-09,3.51744e-10,8.6996e-10,7.27271e-10,1.11011e-09,1.7609e-07,3.83559e-10,3.29937e-08,1.092e-09,4.87437e-09,1.9738e-10,1.0644e-09,6.18338e-09,3.7006e-09,4.9866e-10,5.56257e-10,2.69674e-10,4.8713e-09,3.61763e-09
227,197,11,4.86535e-10,5.01661e-07,1.38833e-10,2.30085e-10,3.6663e-10,2.20456e-10,5.29194e-09,2.50604e-10,2.35874e-09,4.34002e-10,2.28661e-09,1.33888e-10,1.53077e-10,4.91287e-10,1.98145e-09,5.58181e-10,7.31418e-10,1.19481e-10,4.28956e-10,1.11185e-09
188,23,122,8.49143e-10,4.61998e-10,8.05539e-10,1.7829e-09,3.41443e-09,1.50621e-08,2.11418e-09,5.12561e-10,4.04526e-08,3.66096e-10,2.0114e-09,1.61898e-10,6.49952e-09,3.71954e-07,5.81413e-10,5.31065e-10,3.45277e-10,1.08005e-09,3.69633e-09,7.53387e-09
106,57,92,4.85219e-10,6.73897e-10,2.56691e-09,3.32132e-09,5.4694e-08,1.58361e-08,1.26007e-09,3.20671e-09,2.21653e-08,3.72513e-10,9.6415e-09,3.40171e-10,1.09648e-09,1.17776e-08,7.31614e-10,4.91517e-09,1.58516e-09,6.76765e-09,1.19137e-09,3.04215e-09
64,106,195,9.72349e-10,2.90746e-10,1.12853e-06,4.75906e-07,1.03202e-09,1.29194e-08,7.48564e-10,2.12899e-08,1.16913e-09,1.18063e-09,4.75177e-09,3.22441e-09,1.3111e-09,2.93494e-09,1.15154e-09,1.74418e-09,1.98542e-09,1.00282e-08,1.92552e-09,2.73948e-10
12,162,89,2.40662e-10,5.62708e-10,2.65296e-09,1.50416e-09,1.33095e-09,7.77878e-10,4.10059e-10,1.27998e-07,7.31032e-10,3.93174e-10,6.39292e-09,1.63702e-09,1.70808e-10,4.87117e-10,7.73799e-10,1.42723e-07,9.68632e-08,2.2751e-09,2.9041e-10,2.39645e-10
246,226,206,8.75661e-08,8.79965e-10,2.78225e-10,7.58146e-10,1.10683e-10,3.19887e-10,8.42921e-09,2.46158e-10,5.46096e-10,4.61957e-08,1.05552e-09,4.71349e-10,4.97011e-10,6.46825e-10,1.82029e-08,1.64058e-10,3.38379e-10,1.1282e-10,4.7651e-09,1.68216e-10
38,56,99,2.36602e-10,3.05279e-10,5.34913e-09,2.70275e-09,2.24384e-08,6.1045e-09,4.04963e-10,1.05236e-08,2.01895e-09,2.36334e-10,3.3803e-09,4.46062e-10,4.76123e-10,1.89954e-09,3.81015e-10,1.0503e-08,1.98414e-09,7.20477e-08,4.5775e-10,6.78116e-10
191,149,127,8.1502e-09,4.80622e-09,9.31718e-10,3.07692e-09,8.17541e-10,2.05356e-09,2.83454e-07,1.07894e-09,1.65296e-08,4.14337e-09,3.57134e-08,5.64081e-10,1.30096e-09,7.87967e-09,2.46093e-08,1.00828e-09,1.57641e-09,4.90899e-10,1.149e-08,1.28035e-09
152,177,121,3.88129e-09,6.39496e-09,1.35629e-09,3.69966e-09,8.08419e-10,1.49979e-09,2.36407e-08,2.59597e-09,5.9089e-09,5.30437e-09,3.74392e-07,1.20872e-09,6.46013e-10,2.85668e-09,6.50649e-08,2.26077e-09,6.09539e-09,6.02995e-10,3.60514e-09,7.0334e-10
101,23,248,6.47594e-10,1.09186e-10,8.60958e-09,1.45955e-08,5.4648e-10,3.41581e-08,3.6391e-10,8.80269e-10,6.52795e-10,4.17806e-10,6.4711e-10,4.33415e-10,9.323e-09,4.10568e-09,3.15365e-10,2.90916e-10,2.53244e-10,3.50921e-09,2.14128e-09,2.31834e-10
6,100,216,3.3623e-10,1.3325e-10,7.93791e-07,1.42275e-08,5.4651e-10,2.89392e-09,2.47782e-10,1.53583e-08,3.75162e-10,4.58723e-10,1.13697e-09,3.12806e-09,4.97922e-10,7.43136e-10,3.99105e-10,1.0567e-09,1.08095e-09,1.16995e-08,5.32486e-10,1.28929e-10
181,150,167,2.96062e-08,1.72688e-09,1.60391e-09,8.2393e-09,5.7736e-10,2.90407e-09,4.62552e-08,1.29796e-09,5.481e-09,1.18142e-08,1.74376e-08,9.57766e-10,2.17301e-09,8.54697e-09,2.96009e-08,7.53962e-10,1.32834e-09,5.74291e-10,4.46723e-08,6.54528e-10
115,5,83,2.729e-10,3.28446e-10,1.11228e-09,1.29641e-09,1.21478e-07,1.13564e-08,6.10896e-10,9.75679e-10,1.00565e-08,1.85145e-10,1.85367e-09,1.60625e-10,1.10431e-09,8.53982e-09,3.08047e-10,1.44797e-09,5.11826e-10,4.46976e-09,7.07549e-10,4.86109e-09
115,143,57,5.94044e-10,5.43486e-09,1.03282e-09,1.46811e-09,3.87745e-09,1.37776e-09,2.94586e-09,3.78749e-09,1.10285e-08,6.60611e-10,1.88624e-07,5.16218e-10,3.52353e-10,1.95116e-09,2.5917e-09,2.11334e-08,1.27838e-08,1.03701e-09,8.15632e-10,1.56314e-09
